Paper ID,Paper Title,Permanent Link,Keywords
1,Large Language Model based Multi-Agents: A Survey of Progress and Challenges,https://arxiv.org/abs/2402.01680,"LLM-based multi-agent systems, survey, agent profiling, agent communication, environment interface, capability acquisition, benchmarks, challenges"
2,Beyond Self-Talk: A Communication-Centric Survey of LLM-Based Multi-Agent Systems,https://arxiv.org/abs/2502.14321,"LLM-based multi-agent systems, communication-centric survey, multi-agent communication, communication architecture, communication goals, communication strategies, communication paradigms, communication content, multimodal communication, scalability"
3,Survey on Evaluation of LLM-based Agents,https://arxiv.org/abs/2503.16416,"LLM-based agents, evaluation, benchmarks, planning, tool use, memory, self-reflection, dynamic environments, agent capabilities"
4,MultiAgentBench: Evaluating the Collaboration and Competition of LLM agents,https://arxiv.org/abs/2503.01935,"LLM-based multi-agent systems, benchmark, multi-agent evaluation, collaboration, competition, coordination protocol, communication topology, milestone KPI, task completion, group-level behavior"
5,Memory for Autonomous LLM Agents: Mechanisms, Evaluation, and Emerging Frontiers,https://arxiv.org/abs/2603.07670,"LLM agents, autonomous agents, memory, long-term memory, reflective memory, retrieval, memory evaluation, write-manage-read loop, memory governance, learned forgetting, multimodal memory"
6,Memory in LLM-based Multi-agent Systems: Mechanisms, Challenges, and Collective Intelligence,https://www.techrxiv.org/doi/10.36227/techrxiv.176539617.79044553,"LLM-based Multi-Agent Systems; Agent Memory; Shared Memory; Local Memory; Working Memory; Episodic Memory; Semantic Memory; Procedural Memory; Memory Topology; Memory Synchronization; Collective Intelligence; Multi-Agent Coordination; Agent Evaluation; Survey"
7,A-MEM: Agentic Memory for LLM Agents,https://arxiv.org/abs/2502.12110,"LLM agents, agentic memory, long-term memory, dynamic memory organization, Zettelkasten, memory linking, memory evolution, contextual descriptions, tags, adaptive memory management"
8,Scaling Teams or Scaling Time? Memory Enabled Lifelong Learning in LLM Multi-Agent Systems,https://arxiv.org/abs/2604.03295,"LLM-MAS, memory-enabled lifelong learning, team scaling, time scaling, LLMA-Mem, long-horizon collaboration, episodic memory, procedural memory, transactive memory, memory topology, MultiAgentBench, token cost"
9,MIRIX: Multi-Agent Memory System for LLM-Based Agents,https://arxiv.org/abs/2507.07957,"LLM agents, multi-agent memory system, modular memory, Core Memory, Episodic Memory, Semantic Memory, Procedural Memory, Resource Memory, Knowledge Vault, multimodal memory, memory update, memory retrieval, long-term personalization"
10,Rethinking How to Remember: Beyond Atomic Facts in Lifelong LLM Agent Memory,https://arxiv.org/abs/2605.17144,"LLM agents, lifelong memory, agent memory, beyond atomic facts, structured memory, long-horizon agents, memory representation, memory retrieval, memory consolidation, memory evaluation"
11,Beyond RAG for Agent Memory: Retrieval by Decoupling and Aggregation,https://arxiv.org/abs/2602.02007,"LLM agents, agent memory, xMemory, beyond RAG, memory retrieval, decoupling, aggregation, semantic components, revisable hierarchy, split and merge, top-down retrieval, token efficiency, LoCoMo, PerLTQA"
